area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Koramangala,6 BHK,Prestige Golfshire,5058,4,1,1134.09
Plot Area,Under Construction,Electronic City,3 BHK,Prestige Shantiniketan,1643,3,2,95.9
Plot Area,New Launch,BTM Layout 2nd Stage,2 BHK,Brigade Gateway,1023,1,3,74.2
Super built-up Area,6 Months,Ramamurthy Nagar,3 BHK,Embassy Pristine,1595,1,3,78.06
Plot Area,2 Years,Kalyan Nagar,5 BHK,Purva Panorama,3662,4,1,630.4
Plot Area,1 Year,Whitefield,5 BHK,Salarpuria Divinity,3070,5,1,230.05
Carpet Area,New Launch,Koramangala 6th Block,3 BHK,Godrej Air,1668,1,1,113.59
Super built-up Area,New Launch,Indiranagar,2 BHK,Standalone Villa,1014,1,2,115.6
Plot Area,2 Years,HSR Layout,2 BHK,Sobha Dream Acres,1024,1,1,123.79
Super built-up Area,Immediate Possession,Rajajinagar,2 BHK,Purva Riviera,1016,1,3,83.33
Plot Area,Ready To Move,Basaveshwara Nagar,3 BHK,Salarpuria Misty Charm,1573,1,2,123.43
Plot Area,1 Year,HSR Layout,2 BHK,Purva Riviera,1250,1,1,128.73
Built-up Area,Ready To Move,Koramangala,3 BHK,Embassy Boulevard,1466,1,1,222.72
Super built-up Area,2 Years,KR Puram,4 BHK,Standalone Villa,2286,3,2,125.93
Plot Area,Ready To Move,Mahadevapura,4 BHK,Sobha City,1972,3,3,187.12
Carpet Area,2 Years,Indiranagar,3 BHK,Sobha City,1550,1,1,220.72
Built-up Area,2 Years,Sarjapur Road,4 BHK,Builder Floor,2302,2,1,139.87
Built-up Area,1 Year,Banashankari,2 BHK,Salarpuria Greenage,1145,2,0,63.82
Built-up Area,Immediate Possession,Koramangala,2 BHK,Brigade Millennium,932,1,3,95.25
Super built-up Area,Under Construction,HSR Layout Sector 2,3 BHK,Prestige Lakeside Habitat,1716,3,1,209.18
Super built-up Area,New Launch,Rajajinagar,3 BHK,Salarpuria Sattva,1695,1,0,61.11
Built-up Area,2 Years,HSR Layout Sector 2,2 BHK,Purva Panorama,968,2,3,65.31
Plot Area,6 Months,Sarjapur Road,3 BHK,Salarpuria Greenage,1476,3,3,153.2
Plot Area,New Launch,Jayanagar,2 BHK,Brigade Cosmopolis,1295,1,1,147.87
Built-up Area,New Launch,Sarjapur Road,4 BHK,Mantri Serenity,2192,4,0,146.4
Built-up Area,New Launch,Koramangala 7th Block,4 BHK,Purva Panorama,2185,4,1,86.93
Built-up Area,2 Years,Kengeri,3 BHK,Sobha Silicon Oaks,1532,2,1,57.4
Carpet Area,6 Months,Basaveshwara Nagar,3 BHK,Sobha Windfall,1454,1,0,199.39
Super built-up Area,Under Construction,Malleshwaram,4 BHK,Salarpuria Sattva,2716,2,0,162.42
Super built-up Area,Immediate Possession,Yeshwanthpur,3 BHK,Mantri Espana,1512,3,3,76.64
Built-up Area,Ready To Move,Whitefield,3 BHK,Sobha Dream Acres,1455,1,2,90.74
Plot Area,1 Year,Basaveshwara Nagar,3 BHK,Prestige Lakeside Habitat,1783,2,2,185.25
Carpet Area,6 Months,Hebbal,2 BHK,Purva Highlands,1119,1,1,99.96
Built-up Area,6 Months,Malleshwaram,1 BHK,Sobha City,558,1,3,51.44
Plot Area,6 Months,Vijayanagar,3 BHK,Mantri Espana,1739,2,1,134.53
Plot Area,Ready To Move,Varthur,1 BHK,Row House,604,1,1,30.79
Super built-up Area,6 Months,Jayanagar,2 BHK,Salarpuria Sattva,1277,1,2,74.3
Built-up Area,Immediate Possession,Koramangala 4th Block,4 BHK,Mantri Serenity,2500,3,2,155.25
Built-up Area,Ready To Move,Indiranagar,2 BHK,Brigade Gateway,1103,1,2,74.0
Built-up Area,Under Construction,Mahadevapura,3 BHK,Sobha City,1306,3,2,55.75
Carpet Area,New Launch,BTM Layout 1st Stage,3 BHK,Mantri Serenity,1635,1,1,96.53
Carpet Area,6 Months,Yelahanka,4 BHK,Mantri Alpyne,2428,4,2,160.11
Super built-up Area,6 Months,Marathahalli,2 BHK,Godrej Aqua,1023,1,1,56.43
Plot Area,6 Months,Electronic City,2 BHK,Embassy Springs,1108,2,0,93.6
Plot Area,6 Months,Malleshwaram,6 BHK,Purva Fountain Square,4317,4,3,582.65
Carpet Area,Under Construction,Jayanagar,5 BHK,Embassy Springs,3264,4,2,373.56
Super built-up Area,Under Construction,Basavanagudi,2 BHK,Sobha Silicon Oaks,1167,1,1,71.36
Built-up Area,Ready To Move,KR Puram,4 BHK,Salarpuria Divinity,2337,2,1,177.75
Plot Area,Under Construction,Indiranagar,4 BHK,Mantri Serenity,2249,2,1,188.15
Plot Area,New Launch,Rajajinagar,2 BHK,Prestige Lakeside Habitat,1041,1,1,120.11
Built-up Area,1 Year,Nagarbhavi,2 BHK,Salarpuria Misty Charm,1113,1,1,69.53
Carpet Area,Under Construction,Jayanagar,4 BHK,Sobha City,2571,4,0,205.68
Built-up Area,Ready To Move,Kengeri,3 BHK,Mantri Alpyne,1692,1,2,63.33
Built-up Area,2 Years,Banaswadi,3 BHK,Mantri Webcity,1529,2,3,122.28
Built-up Area,2 Years,Bommanahalli,4 BHK,Sobha Windfall,2115,3,1,110.38
Plot Area,2 Years,HSR Layout,3 BHK,Builder Floor,1683,1,2,217.56
Plot Area,2 Years,JP Nagar,2 BHK,Mantri Alpyne,1118,1,0,87.2
Plot Area,1 Year,Whitefield,3 BHK,Embassy Boulevard,1541,2,3,87.57
Plot Area,6 Months,Kadugodi,4 BHK,Salarpuria Greenage,2595,3,1,200.94
Super built-up Area,Immediate Possession,Koramangala 6th Block,3 BHK,Sobha City,1504,3,2,94.88
Super built-up Area,Immediate Possession,Kundanhalli,5 BHK,Builder Floor,3247,3,1,265.11
Super built-up Area,Immediate Possession,Kundanhalli,3 BHK,Embassy Pristine,1394,2,1,139.65
Super built-up Area,1 Year,HSR Layout,4 BHK,Sobha Silicon Oaks,2525,3,2,127.98
Carpet Area,New Launch,Bannerghatta Road,3 BHK,Embassy Boulevard,1293,3,1,49.67
Plot Area,1 Year,Electronic City,4 BHK,Godrej Air,2479,3,2,185.22
Plot Area,2 Years,Vijayanagar,3 BHK,Brigade Millennium,1746,1,3,190.49
Built-up Area,2 Years,Thanisandra,2 BHK,Brigade Cosmopolis,1074,1,2,27.45
Plot Area,1 Year,Brookefield,4 BHK,Prestige Shantiniketan,2375,4,2,190.68
Carpet Area,6 Months,KR Puram,4 BHK,Sobha City,2400,3,1,162.24
Carpet Area,1 Year,Kalyan Nagar,4 BHK,Standalone Villa,2267,3,1,130.05
Super built-up Area,6 Months,Banashankari,2 BHK,Mantri Webcity,1012,2,2,77.15
Carpet Area,Ready To Move,Domlur,4 BHK,Embassy Springs,2501,2,2,222.37
Plot Area,6 Months,Brookefield,4 BHK,Sobha City,2370,3,3,144.15
Built-up Area,1 Year,Brookefield,2 BHK,Row House,1133,2,2,52.2
Built-up Area,Under Construction,Koramangala 5th Block,5 BHK,Mantri Webcity,3192,4,1,429.23
Super built-up Area,1 Year,Koramangala 4th Block,2 BHK,Salarpuria Divinity,1114,1,3,108.95
Built-up Area,New Launch,Kengeri Satellite Town,4 BHK,Salarpuria Misty Charm,2117,3,2,40.06
Plot Area,New Launch,Domlur,3 BHK,Godrej Eternity,1251,3,1,119.19
Carpet Area,Immediate Possession,Brookefield,3 BHK,Embassy Pristine,1669,3,2,73.83
Carpet Area,Immediate Possession,Kundanhalli,3 BHK,Embassy Lake Terraces,1583,3,1,100.75
Plot Area,Ready To Move,Jayanagar,1 BHK,Mantri Espana,571,1,3,37.33
Carpet Area,Ready To Move,Rajajinagar,4 BHK,Salarpuria Sattva,2467,3,1,113.87
Super built-up Area,1 Year,Kengeri,3 BHK,Brigade Gateway,1752,1,1,49.84
Built-up Area,6 Months,Hebbal,2 BHK,Brigade Millennium,1112,1,1,78.13
Built-up Area,Immediate Possession,Banaswadi,4 BHK,Salarpuria Misty Charm,2287,2,0,108.96
Super built-up Area,New Launch,Hennur,2 BHK,Purva Riviera,1052,2,2,52.6
Built-up Area,2 Years,Electronic City,3 BHK,Builder Floor,1981,2,1,136.33
Carpet Area,1 Year,Banaswadi,4 BHK,Purva Fountain Square,2218,2,1,114.93
Plot Area,Immediate Possession,Koramangala 7th Block,3 BHK,Godrej Air,1632,2,2,118.1
Built-up Area,2 Years,Bellandur,4 BHK,Prestige Golfshire,2119,3,2,165.98
Carpet Area,New Launch,Kundanhalli,4 BHK,Godrej Eternity,2508,3,1,191.65
Carpet Area,Immediate Possession,Varthur,1 BHK,Sobha Windfall,679,1,1,38.34
Carpet Area,Under Construction,Vijayanagar,2 BHK,Godrej Aqua,1180,1,2,71.64
Built-up Area,Ready To Move,Yeshwanthpur,2 BHK,Sobha City,1074,1,3,100.01
Built-up Area,Immediate Possession,Koramangala 6th Block,2 BHK,Prestige Golfshire,1157,1,0,71.58
Built-up Area,6 Months,Rajajinagar,3 BHK,Sobha City,1790,2,2,102.77
Built-up Area,New Launch,Varthur,2 BHK,Purva Highlands,1159,1,2,71.69
Carpet Area,Ready To Move,Koramangala 4th Block,3 BHK,Brigade Millennium,1645,1,0,156.81
Built-up Area,Immediate Possession,Mahadevapura,3 BHK,Purva Fountain Square,1574,2,0,161.44
Carpet Area,1 Year,Whitefield,5 BHK,Sobha Dream Acres,3049,3,2,252.06
Built-up Area,2 Years,Bommanahalli,3 BHK,Purva Highlands,1570,2,2,93.3
Super built-up Area,1 Year,Basaveshwara Nagar,4 BHK,Salarpuria Divinity,2564,4,1,163.48
Super built-up Area,New Launch,Bannerghatta Road,3 BHK,Brigade Millennium,1200,1,1,90.61
Built-up Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Salarpuria Misty Charm,1551,3,1,157.76
Super built-up Area,6 Months,Kadugodi,4 BHK,Purva Riviera,2180,3,2,139.12
Built-up Area,Ready To Move,Kengeri,2 BHK,Mantri Espana,960,1,2,46.63
Super built-up Area,6 Months,Banashankari,4 BHK,Brigade Cosmopolis,2644,3,1,238.18
Carpet Area,6 Months,Mahadevapura,5 BHK,Independent House,3618,5,1,379.79
Carpet Area,Immediate Possession,BTM Layout 2nd Stage,4 BHK,Brigade Gateway,2141,2,1,191.56
Plot Area,New Launch,Brookefield,4 BHK,Prestige Shantiniketan,2306,3,0,217.31
Carpet Area,New Launch,Varthur,2 BHK,Purva Highlands,985,2,2,26.48
Plot Area,1 Year,JP Nagar,2 BHK,Sobha Silicon Oaks,1125,1,1,137.8
Built-up Area,2 Years,Bommanahalli,3 BHK,Godrej United,1669,1,1,144.86
Super built-up Area,Under Construction,Bannerghatta Road,3 BHK,Mantri Serenity,1443,2,2,46.34
Carpet Area,Ready To Move,Kundanhalli,2 BHK,Prestige Song of the South,1140,2,1,28.4
Plot Area,1 Year,Whitefield,4 BHK,Brigade Orchards,2412,2,3,170.89
Plot Area,1 Year,Rajajinagar,5 BHK,Prestige Lakeside Habitat,3492,4,0,170.94
Plot Area,New Launch,Rajajinagar,5 BHK,Row House,3301,3,2,401.1
Carpet Area,2 Years,Koramangala,3 BHK,Godrej Air,1750,1,3,161.99
Plot Area,Under Construction,Koramangala 5th Block,3 BHK,Brigade Millennium,1600,3,2,91.36
Carpet Area,New Launch,Hebbal,1 BHK,Salarpuria Divinity,604,1,1,20.0
Carpet Area,Immediate Possession,BTM Layout 1st Stage,3 BHK,Godrej Aqua,1595,1,1,144.96
Built-up Area,Ready To Move,Basaveshwara Nagar,4 BHK,Embassy Springs,2447,3,1,118.46
Super built-up Area,6 Months,Mahadevapura,2 BHK,Embassy Lake Terraces,1024,1,3,57.27
Plot Area,2 Years,Koramangala 6th Block,2 BHK,Prestige Golfshire,1033,1,3,116.3
Super built-up Area,New Launch,Basaveshwara Nagar,3 BHK,Independent House,1594,3,1,74.1
Built-up Area,6 Months,Yelahanka,4 BHK,Godrej Eternity,2152,3,2,113.91
Plot Area,1 Year,Kadugodi,2 BHK,Prestige Lakeside Habitat,1120,1,2,57.33
Super built-up Area,New Launch,Yeshwanthpur,4 BHK,Embassy Lake Terraces,2530,2,1,132.44
Carpet Area,Ready To Move,HSR Layout Sector 6,5 BHK,Sobha Dream Acres,3634,4,1,353.03
Super built-up Area,6 Months,Koramangala 1st Block,6 BHK,Purva Riviera,4581,5,2,306.07
Built-up Area,6 Months,Marathahalli,3 BHK,Purva Fountain Square,1477,2,1,111.26
Carpet Area,New Launch,Banashankari,2 BHK,Embassy Lake Terraces,1232,2,3,94.17
Carpet Area,2 Years,Koramangala 4th Block,2 BHK,Brigade Gateway,1178,2,2,79.41
Carpet Area,New Launch,Bannerghatta Road,4 BHK,Embassy Pristine,2381,2,3,67.37
Built-up Area,Ready To Move,Hoodi,2 BHK,Mantri Serenity,1114,1,1,32.33
Built-up Area,2 Years,Domlur,2 BHK,Purva Riviera,1177,2,1,113.42
Plot Area,Ready To Move,Banaswadi,4 BHK,Embassy Springs,2184,3,2,95.24
Plot Area,New Launch,Electronic City,5 BHK,Godrej Air,3230,4,2,205.33
Plot Area,6 Months,Bannerghatta Road,2 BHK,Builder Floor,960,1,1,54.81
Carpet Area,Ready To Move,Rajajinagar,3 BHK,Embassy Springs,1691,2,2,194.37
Built-up Area,1 Year,Bannerghatta Road,3 BHK,Salarpuria Greenage,1638,2,1,124.31
Built-up Area,Under Construction,Bannerghatta Road,3 BHK,Mantri Espana,1738,1,2,109.73
Super built-up Area,Ready To Move,Basaveshwara Nagar,4 BHK,Brigade Millennium,1901,2,1,122.39
Super built-up Area,Under Construction,Kalyan Nagar,5 BHK,Salarpuria Sattva,3314,5,1,220.98
Super built-up Area,Immediate Possession,BTM Layout 2nd Stage,2 BHK,Embassy Springs,1012,1,2,99.93
Super built-up Area,New Launch,Koramangala,2 BHK,Prestige Shantiniketan,1129,2,3,167.12
Built-up Area,6 Months,Sarjapur Road,5 BHK,Purva Riviera,2993,4,3,107.14
Carpet Area,Ready To Move,BTM Layout 2nd Stage,3 BHK,Mantri Espana,1398,2,1,63.92
Carpet Area,6 Months,Kengeri Satellite Town,3 BHK,Salarpuria Misty Charm,1669,2,0,80.66
Built-up Area,6 Months,Yeshwanthpur,4 BHK,Purva Panorama,2361,4,1,79.79
Super built-up Area,6 Months,Koramangala 7th Block,3 BHK,Mantri Serenity,1666,2,2,209.59
Built-up Area,2 Years,Bommanahalli,4 BHK,Standalone Villa,2742,4,1,396.71
Super built-up Area,Under Construction,Nagarbhavi,3 BHK,Independent House,1638,1,2,92.17
Built-up Area,Immediate Possession,Brookefield,3 BHK,Salarpuria Sattva,1824,2,1,106.05
Plot Area,Immediate Possession,Varthur,3 BHK,Mantri Serenity,1643,2,3,159.64
Super built-up Area,2 Years,Banaswadi,1 BHK,Purva Fountain Square,498,1,3,38.61
Super built-up Area,6 Months,Thanisandra,4 BHK,Prestige Lakeside Habitat,2174,2,1,119.61
Carpet Area,6 Months,Brookefield,2 BHK,Sobha City,1154,2,1,98.39
Plot Area,Ready To Move,Kadugodi,4 BHK,Prestige Song of the South,2714,3,1,128.64
Carpet Area,1 Year,Thanisandra,3 BHK,Purva Highlands,1323,2,0,27.28
Plot Area,New Launch,Koramangala 5th Block,2 BHK,Godrej United,1170,1,1,116.06
Plot Area,1 Year,BTM Layout,3 BHK,Embassy Lake Terraces,1826,2,1,66.08
Plot Area,1 Year,Whitefield,1 BHK,Salarpuria Sattva,501,1,1,74.27
Super built-up Area,Ready To Move,Hennur,4 BHK,Brigade Gateway,2289,2,2,102.51
Super built-up Area,1 Year,Ramamurthy Nagar,2 BHK,Sobha Windfall,1099,2,1,62.97
Built-up Area,New Launch,Brookefield,3 BHK,Purva Riviera,1535,1,2,121.29
Built-up Area,2 Years,Sarjapur Road,3 BHK,Godrej United,1364,1,0,68.99
Carpet Area,2 Years,Kengeri,3 BHK,Brigade Cosmopolis,1434,2,0,91.96
Plot Area,Immediate Possession,Kundanhalli,5 BHK,Independent House,3359,4,2,465.62
Plot Area,Ready To Move,Hebbal,5 BHK,Embassy Springs,3122,4,1,427.49
Plot Area,Under Construction,Mahadevapura,4 BHK,Prestige Lakeside Habitat,2055,4,2,177.99
Super built-up Area,2 Years,Marathahalli,4 BHK,Purva Panorama,2595,2,1,131.17
Super built-up Area,Under Construction,Banashankari,4 BHK,Prestige Song of the South,2451,3,1,219.28
Carpet Area,6 Months,Hebbal,2 BHK,Salarpuria Sattva,1199,2,2,58.21
Plot Area,2 Years,BTM Layout 2nd Stage,3 BHK,Mantri Alpyne,1539,2,1,152.11
Plot Area,Immediate Possession,Bommanahalli,2 BHK,Independent House,880,1,3,41.82
Carpet Area,2 Years,Koramangala 4th Block,2 BHK,Standalone Villa,1081,2,2,59.12
Plot Area,Ready To Move,Koramangala,3 BHK,Prestige Song of the South,1603,1,2,142.61
Plot Area,Immediate Possession,Kadugodi,2 BHK,Mantri Alpyne,1145,2,1,50.96
Built-up Area,6 Months,Koramangala,2 BHK,Godrej Air,1060,1,2,112.54
Plot Area,Under Construction,Mahadevapura,2 BHK,Godrej Air,1106,1,2,77.07
Super built-up Area,6 Months,Mahadevapura,3 BHK,Embassy Pristine,1530,1,1,75.44
Built-up Area,6 Months,Kundanhalli,5 BHK,Godrej Eternity,3585,3,1,210.81
Plot Area,6 Months,Yelahanka,2 BHK,Prestige Song of the South,1057,1,2,70.99
Carpet Area,Ready To Move,Bommanahalli,3 BHK,Brigade Millennium,1941,3,2,114.97
Carpet Area,New Launch,Bannerghatta Road,4 BHK,Brigade Millennium,2301,3,1,162.6
Super built-up Area,Immediate Possession,KR Puram,2 BHK,Salarpuria Misty Charm,987,1,1,47.51
Carpet Area,Ready To Move,Banaswadi,3 BHK,Embassy Boulevard,1562,2,2,109.43
Carpet Area,6 Months,Malleshwaram,4 BHK,Mantri Espana,2140,4,1,301.73
Super built-up Area,New Launch,Bellandur,3 BHK,Sobha Windfall,1734,3,1,62.62
Carpet Area,Ready To Move,Koramangala 4th Block,4 BHK,Mantri Alpyne,2541,2,1,127.77
Plot Area,New Launch,Koramangala 6th Block,3 BHK,Brigade Millennium,1813,1,2,180.35
Super built-up Area,New Launch,Koramangala 7th Block,5 BHK,Prestige Song of the South,3274,3,0,431.42
Super built-up Area,2 Years,Kadugodi,2 BHK,Embassy Pristine,1123,2,2,66.1
Built-up Area,New Launch,Basaveshwara Nagar,5 BHK,Embassy Pristine,3231,4,1,142.18
Carpet Area,New Launch,Yeshwanthpur,2 BHK,Godrej United,1112,1,2,43.54
Super built-up Area,2 Years,Mahadevapura,4 BHK,Standalone Villa,2405,3,2,252.44
Carpet Area,Ready To Move,Bommanahalli,3 BHK,Godrej Air,1687,1,1,88.02
Super built-up Area,1 Year,Basavanagudi,3 BHK,Salarpuria Sattva,1510,2,1,91.91
Super built-up Area,6 Months,Kengeri,1 BHK,Builder Floor,666,1,2,26.85
Built-up Area,New Launch,Kalyan Nagar,3 BHK,Purva Panorama,1743,2,0,119.98
Carpet Area,Immediate Possession,Domlur,6 BHK,Standalone Villa,4634,5,1,460.02
Plot Area,Immediate Possession,Jayanagar,2 BHK,Prestige Golfshire,922,1,3,117.77
Built-up Area,Ready To Move,BTM Layout 2nd Stage,4 BHK,Builder Floor,2519,3,2,341.3
Plot Area,Under Construction,Koramangala 6th Block,3 BHK,Mantri Alpyne,1792,2,3,263.31
Plot Area,6 Months,HSR Layout Sector 6,4 BHK,Godrej Eternity,2849,3,2,174.44
Plot Area,Under Construction,Brookefield,3 BHK,Embassy Boulevard,1383,2,0,160.86
Carpet Area,2 Years,Kengeri Satellite Town,2 BHK,Godrej United,1262,1,1,64.66
Super built-up Area,1 Year,Kadugodi,2 BHK,Mantri Serenity,1047,1,2,108.22
Carpet Area,1 Year,Kengeri,2 BHK,Sobha Windfall,1076,1,1,41.04
Built-up Area,Immediate Possession,Banashankari,4 BHK,Embassy Boulevard,2243,4,3,192.46
Built-up Area,Ready To Move,Hebbal,4 BHK,Embassy Boulevard,2074,3,2,199.59
Plot Area,6 Months,Thanisandra,3 BHK,Godrej United,1588,1,1,136.19
Super built-up Area,Under Construction,BTM Layout 1st Stage,3 BHK,Sobha Windfall,1540,2,2,145.66
Super built-up Area,New Launch,Bannerghatta Road,3 BHK,Brigade Orchards,1596,2,2,136.98
Super built-up Area,1 Year,BTM Layout 1st Stage,3 BHK,Embassy Pristine,1393,3,0,174.23
Super built-up Area,New Launch,Indiranagar,3 BHK,Godrej Air,1323,3,2,81.64
Carpet Area,1 Year,Banaswadi,4 BHK,Mantri Espana,2658,2,2,217.17
Built-up Area,Under Construction,Nagarbhavi,4 BHK,Embassy Springs,2369,4,2,87.62
Carpet Area,Immediate Possession,Koramangala 1st Block,3 BHK,Mantri Espana,1350,2,2,126.98
Super built-up Area,2 Years,HSR Layout Sector 1,4 BHK,Purva Fountain Square,2573,3,1,156.05
Plot Area,2 Years,Koramangala 7th Block,3 BHK,Embassy Boulevard,1591,1,2,307.06
Built-up Area,Ready To Move,JP Nagar,2 BHK,Godrej Aqua,959,1,0,59.71
Plot Area,Immediate Possession,Kengeri,2 BHK,Prestige Golfshire,974,2,3,53.64
Carpet Area,1 Year,Mahadevapura,3 BHK,Embassy Springs,1580,2,1,70.87
Plot Area,Immediate Possession,Koramangala 4th Block,6 BHK,Embassy Boulevard,3971,5,2,458.88
Carpet Area,Immediate Possession,Hebbal,3 BHK,Embassy Lake Terraces,1542,2,2,77.74
Super built-up Area,2 Years,Electronic City,2 BHK,Godrej Eternity,1070,1,0,36.41
Plot Area,New Launch,Yelahanka,5 BHK,Embassy Lake Terraces,2766,5,2,193.39
Built-up Area,2 Years,Koramangala 4th Block,1 BHK,Purva Highlands,648,1,3,30.36
Plot Area,New Launch,Whitefield,2 BHK,Godrej Air,1152,2,1,72.53
Carpet Area,Under Construction,Malleshwaram,3 BHK,Sobha Windfall,1380,1,2,100.95
Carpet Area,2 Years,HSR Layout Sector 6,3 BHK,Sobha Silicon Oaks,1663,3,2,158.23
Super built-up Area,2 Years,Kengeri,4 BHK,Embassy Pristine,2557,2,1,170.12
Plot Area,2 Years,Kengeri Satellite Town,3 BHK,Mantri Webcity,1324,1,2,50.37
Built-up Area,1 Year,Marathahalli,3 BHK,Prestige Golfshire,1442,3,0,177.89
Plot Area,6 Months,Varthur,3 BHK,Row House,1585,2,3,89.85
Super built-up Area,2 Years,Thanisandra,5 BHK,Godrej Eternity,3547,4,2,123.19
Plot Area,2 Years,HSR Layout Sector 6,2 BHK,Prestige Lakeside Habitat,1004,2,1,98.77
Built-up Area,1 Year,Ramamurthy Nagar,2 BHK,Godrej Air,1120,1,2,44.62
Super built-up Area,Ready To Move,Koramangala 6th Block,3 BHK,Sobha Windfall,1883,2,1,223.64
Built-up Area,2 Years,Koramangala 1st Block,5 BHK,Sobha Silicon Oaks,3772,4,3,419.99
Plot Area,2 Years,Hennur,3 BHK,Prestige Lakeside Habitat,1586,2,2,115.78
Carpet Area,2 Years,Rajajinagar,2 BHK,Sobha Dream Acres,1114,1,1,119.92
Plot Area,New Launch,HSR Layout,4 BHK,Godrej Aqua,2698,2,1,429.93
Built-up Area,Ready To Move,KR Puram,3 BHK,Brigade Millennium,1832,2,1,99.66
Plot Area,Under Construction,HSR Layout,3 BHK,Prestige Golfshire,1368,2,2,156.47
Plot Area,6 Months,Indiranagar,2 BHK,Godrej United,972,1,1,123.16
Super built-up Area,New Launch,Hebbal,4 BHK,Sobha Windfall,2532,4,1,214.3
Plot Area,2 Years,Whitefield,4 BHK,Mantri Alpyne,2481,2,2,202.47
Built-up Area,1 Year,Sarjapur Road,2 BHK,Mantri Serenity,1128,1,1,85.86
Carpet Area,1 Year,Kengeri,1 BHK,Embassy Pristine,587,1,1,20.23
Plot Area,2 Years,Bannerghatta Road,3 BHK,Mantri Serenity,1516,2,0,44.81
Built-up Area,Immediate Possession,Bommanahalli,2 BHK,Godrej Aqua,1219,1,2,104.46
Super built-up Area,New Launch,Hebbal,5 BHK,Prestige Golfshire,3705,4,1,283.24
Plot Area,Under Construction,HSR Layout Sector 2,5 BHK,Embassy Lake Terraces,3251,3,2,252.24
Super built-up Area,Immediate Possession,HSR Layout,5 BHK,Prestige Lakeside Habitat,3590,4,3,330.12
Plot Area,1 Year,Basaveshwara Nagar,1 BHK,Mantri Serenity,629,1,3,26.1
Plot Area,1 Year,Vijayanagar,3 BHK,Prestige Golfshire,1489,3,1,157.51
Super built-up Area,Ready To Move,Marathahalli,3 BHK,Mantri Webcity,1577,2,1,178.8
Carpet Area,6 Months,Kundanhalli,4 BHK,Sobha City,2554,4,1,244.63
Plot Area,New Launch,Yelahanka,3 BHK,Brigade Cosmopolis,1745,2,2,136.45
Super built-up Area,6 Months,Bannerghatta Road,3 BHK,Godrej Aqua,1598,2,1,71.87
Plot Area,New Launch,Yeshwanthpur,1 BHK,Mantri Alpyne,512,1,1,34.38
Carpet Area,1 Year,HSR Layout,2 BHK,Builder Floor,1212,1,1,76.5
Carpet Area,Ready To Move,Hebbal,3 BHK,Purva Fountain Square,1864,3,2,117.56
Plot Area,2 Years,Bannerghatta Road,2 BHK,Brigade Orchards,1003,1,1,57.28
Carpet Area,New Launch,Kalyan Nagar,4 BHK,Prestige Golfshire,2693,3,1,110.44
Built-up Area,New Launch,Kalyan Nagar,1 BHK,Embassy Pristine,479,1,0,30.04
Plot Area,Ready To Move,Koramangala 5th Block,4 BHK,Purva Riviera,2540,3,2,447.99
Built-up Area,Under Construction,Indiranagar,3 BHK,Sobha City,1537,1,2,303.9
Built-up Area,1 Year,Yelahanka,5 BHK,Mantri Alpyne,3182,3,1,150.62
Plot Area,Ready To Move,Sarjapur Road,4 BHK,Purva Highlands,2642,3,1,282.07
Plot Area,Immediate Possession,Vijayanagar,2 BHK,Embassy Pristine,971,2,1,50.87
Built-up Area,Ready To Move,Nagarbhavi,3 BHK,Salarpuria Misty Charm,1789,3,0,99.12
Carpet Area,Under Construction,JP Nagar,3 BHK,Sobha Windfall,1483,2,3,87.23
Built-up Area,6 Months,Koramangala 6th Block,2 BHK,Prestige Shantiniketan,1294,1,3,94.62
Super built-up Area,Under Construction,Banaswadi,3 BHK,Embassy Pristine,1679,3,2,146.79
